,LeaveOrNot
1295,1
2485,0
2703,0
2674,1
555,0
4031,0
4437,1
1110,1
1188,1
1891,0
3719,1
1120,0
3192,0
2685,1
3627,0
697,0
1217,1
1885,0
3827,0
987,0
326,1
2047,0
3415,0
3180,0
1179,1
1707,1
1554,1
2154,0
667,0
3972,0
873,1
2423,0
56,0
3694,0
1053,1
2528,0
3034,0
2644,0
1502,0
3420,1
703,1
2768,1
3557,0
3409,0
2519,0
3434,0
16,0
1434,0
3989,0
2123,1
134,0
1,1
2810,1
437,0
3634,0
4522,0
2367,1
4309,0
3758,1
444,0
2979,1
4508,1
4416,0
2566,0
2737,1
3239,0
2747,0
1345,0
567,0
2256,1
3323,0
2426,0
1191,0
4473,0
4651,0
1086,0
425,1
3030,1
1113,1
274,1
4088,0
1180,1
1465,0
3666,0
2488,0
2462,0
2523,0
1698,1
3064,0
3624,0
1535,1
3817,0
1007,1
4568,0
2695,0
4273,0
3835,1
2569,0
2765,0
3762,0
1154,0
938,1
4566,0
3895,0
4009,0
870,0
1497,0
1137,0
865,0
767,1
1953,1
4509,0
2237,0
4487,1
1204,0
179,1
4620,1
1121,1
1778,0
2902,1
1961,0
4484,1
3473,1
3776,0
863,0
4483,0
2722,0
1616,0
345,0
1299,1
1274,0
3892,0
1319,0
3708,0
50,0
3347,1
4000,1
3910,0
968,1
2310,0
120,0
4325,0
1316,0
4011,1
1967,1
2267,0
2315,1
1392,1
1216,0
843,0
2338,1
2740,1
4049,0
2745,0
1285,1
1994,0
478,1
3461,0
3950,0
2764,0
4395,0
1570,0
74,1
1210,1
574,1
3324,1
1456,0
4368,0
1803,0
3668,0
2821,0
2509,0
1035,0
1789,0
1875,0
2365,0
963,0
654,0
1020,0
4302,1
3806,0
4066,1
3740,0
1233,0
2339,0
4384,0
3003,0
3330,1
2309,0
1203,0
4007,0
901,0
3718,0
2561,0
3384,0
440,0
2669,0
3232,0
983,0
2704,1
1880,0
3448,0
205,1
4555,0
3360,0
2104,0
3756,1
1408,1
500,1
4545,0
2061,0
3303,0
531,1
2473,1
3722,1
741,0
4224,0
979,0
1334,0
589,0
2285,1
1904,0
3308,1
1450,1
4196,0
1173,0
3653,0
605,0
1785,1
175,0
4406,0
3082,1
1213,1
1783,0
1480,1
1548,1
3482,1
412,0
1390,0
1341,0
4618,1
2077,0
3743,0
1410,0
2200,0
3630,1
4524,0
4553,1
3371,0
78,0
2907,0
3824,0
264,0
1598,1
2322,1
4497,1
4188,0
4337,1
1178,1
2070,0
3786,0
4338,0
2386,0
2275,0
1340,1
4523,1
3237,1
2640,1
10,1
438,0
1366,1
971,0
2460,0
1482,0
669,1
2914,0
2893,1
2305,0
4471,1
1926,0
1337,0
3587,0
3076,1
628,1
409,0
4459,1
1198,1
2636,0
3667,1
2679,1
1201,0
4109,0
760,0
3106,0
3610,1
4078,0
4339,0
1600,0
2211,1
3416,1
1593,0
1458,1
4200,0
2178,0
3111,1
2281,0
693,1
1578,1
2060,0
4445,0
2984,0
2351,1
2613,1
3930,0
3716,1
3063,0
1370,0
4526,0
42,1
1240,0
1418,0
878,0
1483,0
3779,0
2471,0
55,0
879,0
1318,1
2633,1
4122,1
1238,0
1513,0
135,1
2258,0
2828,0
4486,0
1862,0
3928,1
3231,0
3956,0
1498,0
4149,0
4586,1
2941,0
178,0
2788,0
4637,1
3212,0
300,0
3275,0
1663,0
4378,1
1001,0
3261,1
4174,1
3590,0
228,1
818,1
988,1
29,0
1657,1
561,0
3464,1
4533,1
225,0
4101,1
4089,0
3443,0
4128,0
3010,0
668,0
2943,1
3006,0
3539,0
151,1
1802,0
702,0
4439,0
1444,0
2950,0
3517,0
854,0
1832,1
2881,1
3294,1
4284,1
4209,0
2337,1
206,0
1147,0
3136,0
3297,0
3238,1
4635,0
1245,0
4084,1
3852,1
2731,0
3333,1
2665,0
1982,0
869,0
1659,0
3233,1
3050,1
4291,0
2677,0
3397,0
3078,1
3985,0
1138,1
2694,0
4235,0
4310,0
4300,0
3369,0
2179,1
2186,1
2639,0
4494,0
416,0
2086,0
4054,1
3986,0
2754,0
136,1
1474,0
1122,1
4131,0
25,0
657,0
3942,0
449,0
3432,0
3296,0
3124,0
1401,0
3282,0
1258,1
1270,0
1449,1
1052,0
2825,1
2437,0
3990,1
276,0
2441,0
2158,1
588,0
2207,0
970,0
3184,0
2708,0
4240,0
3334,1
1759,0
2181,0
3757,0
4263,1
2272,0
3825,0
927,0
3226,1
3068,0
4625,0
24,0
4575,0
443,0
4246,0
4500,1
2142,0
754,1
2265,1
1047,0
780,0
900,0
3035,1
1952,0
2760,1
1197,0
100,1
1049,1
1627,1
4527,1
2831,0
3800,0
2443,0
1271,1
4412,0
2748,0
766,0
1889,1
3660,0
3060,0
168,0
73,0
2653,1
4636,1
2985,0
1883,0
4044,0
2166,0
2568,1
992,0
3216,0
1905,0
3086,0
1384,0
3441,0
1738,0
4389,1
1503,1
2564,0
1631,0
3724,1
2102,0
266,0
1033,1
2631,1
3586,0
2585,0
1844,0
4594,1
2214,1
144,0
3959,0
4343,0
2547,0
320,0
1587,0
1584,0
3573,1
3699,0
2282,1
1010,0
3913,1
3024,1
3996,0
191,0
1175,1
1690,1
1280,1
3350,0
2232,0
687,0
638,1
569,0
3654,0
933,1
1169,0
1360,1
3287,0
3462,0
1822,0
2790,0
196,0
3089,0
3785,1
2428,0
2075,1
1705,0
147,0
797,1
1750,1
623,0
2286,0
4067,0
2028,1
1473,1
722,0
1361,1
106,0
3052,0
1472,1
1117,0
554,0
299,0
170,0
3326,1
3803,0
3674,0
1276,0
2354,1
3619,0
415,0
4282,1
3053,0
3923,1
1839,0
2956,0
2317,1
2915,1
630,1
162,1
413,1
1073,1
2017,0
876,0
817,0
2255,0
2734,0
872,0
4341,0
3683,0
229,0
906,1
2056,0
896,0
3871,1
2153,0
791,0
1910,1
1327,1
2308,1
2876,1
698,0
3083,1
3080,1
1717,0
2579,0
894,0
3020,0
3541,1
4153,0
1979,1
1057,1
3309,1
3518,0
2330,1
3658,1
92,0
1234,1
1013,0
3863,1
947,0
1793,0
190,0
1531,1
2682,0
2812,1
3894,1
3588,0
3176,1
2111,1
105,1
3413,0
2801,0
1963,1
2301,0
774,1
1232,1
858,0
3154,1
4606,0
3430,1
4160,0
4370,1
725,0
1679,0
2201,1
3943,1
1363,0
410,1
830,1
3781,1
912,0
2092,0
390,0
4357,0
2243,0
3123,0
3121,0
3957,1
718,1
3452,1
2440,1
3256,1
3108,1
3411,0
3048,0
420,0
2197,0
4105,0
3877,0
3912,0
3117,0
1937,0
1119,1
4115,0
534,1
548,0
298,0
3362,1
3729,1
2170,1
1385,0
3207,0
3135,1
3899,0
4557,0
4184,0
3158,1
97,1
2099,1
2259,0
1969,1
2794,0
1045,1
939,0
607,0
2526,1
2539,1
1070,0
296,0
49,0
224,1
1774,0
1243,0
3279,0
1921,1
850,1
1225,1
2852,0
3317,0
442,0
2472,0
2587,0
2815,0
2916,1
187,0
4502,0
2799,0
3903,1
4075,0
461,1
3131,1
714,0
4520,0
635,0
4085,0
2266,0
4040,0
4042,0
1765,0
2347,0
2903,0
609,1
485,0
1085,1
2129,1
4420,0
3538,0
3128,0
19,1
1673,0
2856,1
1790,0
96,0
3155,0
2494,0
4570,0
366,0
1721,0
3657,0
1909,0
918,0
1425,1
2807,1
4488,1
3565,1
4602,0
4530,1
2990,1
3391,0
4643,0
4228,0
3122,1
3310,0
1588,0
3664,1
2498,0
31,0
3283,0
1375,0
1326,0
3780,1
1349,1
255,0
3642,0
3622,0
4147,0
2727,0
3700,0
124,0
2778,0
2879,1
2773,0
2635,1
433,0
3335,0
1099,1
2514,0
3606,1
2575,0
